pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
spain	-0.14579712659168	0.0646145260846429	0	1	0.000001	0.6	0.7	FALSE
spain	-0.124777558895332	0.0505643533428203	0	1	0.000001	0.6	0.7	FALSE
spain	-0.130582384798385	0.0523995458958324	0	1	0.000001	0.6	0.7	FALSE
spain	-0.148562063248036	0.0636180638598832	0	1	0.000001	0.6	0.7	FALSE
spain	-0.146476762201778	0.0723213995211945	0	1	0.000001	0.6	0.7	FALSE
spain	-0.180684559647226	0.0762878453760159	0	1	0.000001	0.6	0.7	FALSE
spain	-0.12686686642193	0.0630987642872676	0	1	0.000001	0.6	0.7	FALSE
spain	-0.139404672132605	0.0608427806272839	0	1	0.000001	0.6	0.7	FALSE
spain	-0.00151870546982986	-0.374931583373872	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0178208756775069	-0.33586806231624	0	1	0.000001	0.6	0.7	FALSE
spain	-0.263915669083405	0.087802849195261	0	1	0.000001	0.6	0.7	FALSE
spain	-0.107460140955924	0.0515529417184215	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0230222822856405	-0.000431664675745571	0	1	0.000001	0.6	0.7	FALSE
spain	-0.163790428113121	0.0635491950805116	0	1	0.000001	0.6	0.7	FALSE
spain	-0.00456086436230121	-0.390112721391042	0	1	0.000001	0.6	0.7	FALSE
spain	-0.158514856845694	0.104558505101933	0	1	0.000001	0.6	0.7	FALSE
spain	-0.214530327815295	0.108123680307876	0	1	0.000001	0.6	0.7	FALSE
spain	-0.13979922597222	0.066936042670735	0	1	0.000001	0.6	0.7	FALSE
spain	-0.185771374444884	0.0870225672916139	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0304539841829007	-0.0226420783176283	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0194247938886077	-0.00516645427000502	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0756645045876569	-0.00521576162729997	0	1	0.000001	0.6	0.7	FALSE
spain	-0.183974447345288	0.0600734471269464	0	1	0.000001	0.6	0.7	FALSE
spain	-0.00346813778932407	-0.389223814726771	0	1	0.000001	0.6	0.7	FALSE
spain	-0.0357569167794432	-0.00115824512408271	0	1	0.000001	0.6	0.7	FALSE
spain	-0.139412371685064	0.0638873861846677	0	1	0.000001	0.6	0.7	FALSE
spain	0.00589349109316979	-0.338590547720833	0	1	0.000001	0.6	0.7	FALSE
spain	-0.00939562046340443	-0.355748883712281	0	1	0.000001	0.6	0.7	FALSE
spain	-0.103606615779484	0.0626466370829443	0	1	0.000001	0.6	0.7	FALSE
spain	-0.156885928370807	0.0693689943922786	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.100612756296027	0.0268566041519964	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0398717208621608	0.00440568623458602	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0586979045736561	-0.0236155325001674	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0297278479204009	-0.0108815611758107	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0429620526363061	-0.0201882735202045	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0974058959292719	0.00793559161310203	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0265302044949276	-0.0144672386149716	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0935149455845694	0.011567016119865	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0563936934008622	-0.00371459835597846	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.116960396034814	0.0177638354078322	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0318633318519223	-0.0239417126646159	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.262091675378695	0.140852842191619	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.161319352998257	0.0720948304013654	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0216263137578287	-0.0129054265039144	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.114919513743296	0.051484251356101	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0881343389043725	0.0370876455533984	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.136996756998943	0.0333407948373072	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0522563533832611	-0.0268662571250588	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0626319844375054	-0.0252253600371417	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0332488935602154	-0.00556072435255693	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.115408401117241	0.0177029617031227	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0910568261556429	0.0322720864460505	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.0926951017935589	0.0200693973933558	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.126324092953041	0.0392428430233162	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.246813281306324	0.125329317587346	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.153488715893635	0.0424288188133166	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.213469153169283	0.108960626377244	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.246692130292448	0.134897531938261	0	1	0.000001	0.6	0.7	FALSE
western_europe	0.262292939313343	0.132894295809291	0	1	0.000001	0.6	0.7	FALSE
