pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
CHQ	-0.132450536344744	0.00176480431556617	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.13492018017803	-0.0441355745034165	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.150094956313524	0.0542380792939661	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.139410704019434	0.0559222296973073	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.133510790452743	0.0321926388710718	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.139226463662136	0.0671772620580727	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.138035085281992	0.0465547167328151	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.132844081200683	0.0146653783278098	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.141977178999522	0.0371658339417047	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.127940204256122	0.0157521446104283	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.133863393737009	-0.0670750938661305	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.0699494396822329	-0.779945974303178	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.121720377469846	0.0226156895649055	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.134520462487996	0.0413207007407134	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.132009439665885	-0.044391082422771	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.13257668214126	0.0413964705813796	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.12296520937411	0.0212558625846768	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.136695718712838	0.0478992943794222	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.137171827512324	0.0172974720064639	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.129602313517689	0.0816890596328672	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.138480875288466	-0.00100994099334873	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.123583304288074	0.0317693813557372	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.136947488807308	0.029353209927701	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.132691560194622	0.0151889444203958	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.136409180110987	-0.0323815814526665	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.124936588673084	0.0771299382583227	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.142384983217136	0.00898478443052629	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.127041085975026	0.0196193770597364	0	1	0.000001	0.1	0.1	FALSE
CHQ	-0.127512433588507	-0.00347839119169162	0	1	0.000001	0.1	0.1	FALSE
LPB	0.129151571081487	0.0925105874268133	0	1	0.000001	0.1	0.1	FALSE
LPB	0.116233465304293	0.0764218338230212	0	1	0.000001	0.1	0.1	FALSE
LPB	0.155387102885436	0.188597340677789	0	1	0.000001	0.1	0.1	FALSE
LPB	0.140265677176852	-0.0589759492552527	0	1	0.000001	0.1	0.1	FALSE
LPB	0.128179075583244	-0.0835698931598566	0	1	0.000001	0.1	0.1	FALSE
LPB	0.140233760970518	-0.261399476143827	0	1	0.000001	0.1	0.1	FALSE
LPB	0.135638770934345	-0.0742643868464455	0	1	0.000001	0.1	0.1	FALSE
LPB	0.136570984750374	-0.0282659947966955	0	1	0.000001	0.1	0.1	FALSE
LPB	0.10912169198684	-0.0150467611967422	0	1	0.000001	0.1	0.1	FALSE
LPB	0.127697323330354	0.0417094603536187	0	1	0.000001	0.1	0.1	FALSE
LPB	0.12801748781724	-0.112903127754109	0	1	0.000001	0.1	0.1	FALSE
LPB	0.115256456567933	0.0587148312105862	0	1	0.000001	0.1	0.1	FALSE
LPB	0.129787463816893	-0.087675500324643	0	1	0.000001	0.1	0.1	FALSE
LPB	0.120886196133587	0.107221100322194	0	1	0.000001	0.1	0.1	FALSE
LPB	0.151009911556933	0.0250467292875181	0	1	0.000001	0.1	0.1	FALSE
LPB	0.0589418847523064	-0.0642929168248456	0	1	0.000001	0.1	0.1	FALSE
LPB	0.127193991701978	-0.0616486501218205	0	1	0.000001	0.1	0.1	FALSE
LPB	0.119420132200335	0.119419783393377	0	1	0.000001	0.1	0.1	FALSE
LPB	0.145507587230203	-0.0703216940623668	0	1	0.000001	0.1	0.1	FALSE
LPB	0.113281971311807	0.170090446098554	0	1	0.000001	0.1	0.1	FALSE
LPB	0.146715593367304	-0.0735949695677074	0	1	0.000001	0.1	0.1	FALSE
LPB	0.142588849545942	0.018437029580392	0	1	0.000001	0.1	0.1	FALSE
LPB	0.151454288794228	0.0355448746044872	0	1	0.000001	0.1	0.1	FALSE
LPB	0.123917569737295	-0.162222197181815	0	1	0.000001	0.1	0.1	FALSE
LPB	0.134751209184837	0.260531861111294	0	1	0.000001	0.1	0.1	FALSE
LPB	0.117316723835481	-0.0228479049425015	0	1	0.000001	0.1	0.1	FALSE
LPB	0.117330292910885	0.0366319234052382	0	1	0.000001	0.1	0.1	FALSE
LPB	0.116573267139645	0.0165043475465354	0	1	0.000001	0.1	0.1	FALSE
LPB	0.106479366653274	0.0125667891713483	0	1	0.000001	0.1	0.1	FALSE
LPB	0.126562876891595	0.108544850107487	0	1	0.000001	0.1	0.1	FALSE
