pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
Ontario	-0.0713748707368325	-0.133846517696483	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0939963364437559	0.270407401876574	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0828736843343304	0.150403441760304	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.088336462138112	0.0848045381124769	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0873413100564149	0.1870584717862	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0780553591021372	0.232178609510912	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0735012721504216	-0.139388685408602	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0839774023402263	0.282519829791926	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.073704189473454	0.246313639659536	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.0894185220200751	0.282237374247674	0.1	0	0.000001	0.7	0.7	FALSE
Ontario	-0.082522449527269	0.283448297352916	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0671622672089135	-0.258520879079096	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0667271521391771	-0.248597346985072	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0584557758409403	-0.217569729886535	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	0.651321465529199	0.0285284787380329	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	0.688221737411653	0.0286210384833509	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0583727925187105	-0.241022702975145	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0650993715721048	-0.28383098034088	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0540721699019159	-0.257319922344347	0.1	0	0.000001	0.7	0.7	FALSE
SWUS	-0.0645518154409742	-0.296424356606401	0.1	0	0.000001	0.7	0.7	FALSE
