pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
north	-0.0832537953715135	0.191847652320831	0	1	0.000001	0.6	0.6	FALSE
north	-0.0683013172416004	0.207252174953743	0	1	0.000001	0.6	0.6	FALSE
north	-0.0931588423930741	0.163176881852266	0	1	0.000001	0.6	0.6	FALSE
north	-0.0860009943882883	0.199621638797801	0	1	0.000001	0.6	0.6	FALSE
north	-0.0825596445486357	0.200631949036195	0	1	0.000001	0.6	0.6	FALSE
north	-0.0913492129090084	0.168175709581455	0	1	0.000001	0.6	0.6	FALSE
north	-0.0869142320952047	0.198780178747174	0	1	0.000001	0.6	0.6	FALSE
south	0.149012555036026	-0.0569672266749448	0	1	0.000001	0.6	0.6	FALSE
south	0.134783991734497	-0.0497429783847565	0	1	0.000001	0.6	0.6	FALSE
south	0.138393423374256	-0.0536553151731239	0	1	0.000001	0.6	0.6	FALSE
north	0.150122793402666	-0.0647718544888462	0	1	0.000001	0.6	0.6	FALSE
north	-0.187964686953462	-0.179420882750468	0	1	0.000001	0.6	0.6	FALSE
north	-0.190608250194777	-0.173388770371747	0	1	0.000001	0.6	0.6	FALSE
south	0.106105890645852	-0.00745304114268503	0	1	0.000001	0.6	0.6	FALSE
south	0.148752897964875	-0.0606760363263081	0	1	0.000001	0.6	0.6	FALSE
north	-0.044113054390384	0.164989472729482	0	1	0.000001	0.6	0.6	FALSE
south	0.147201829290956	-0.062085016327642	0	1	0.000001	0.6	0.6	FALSE
south	0.150008560263021	-0.0655810510012519	0	1	0.000001	0.6	0.6	FALSE
north	-0.0641115978217967	0.200666909968502	0	1	0.000001	0.6	0.6	FALSE
north	-0.117510828839574	-0.0546626695591138	0	1	0.000001	0.6	0.6	FALSE
north	-0.0715179041394175	0.179355957060009	0	1	0.000001	0.6	0.6	FALSE
south	0.140993087933405	-0.053337119988959	0	1	0.000001	0.6	0.6	FALSE
north	-0.185600214488109	-0.173936397584312	0	1	0.000001	0.6	0.6	FALSE
south	0.145799427212628	-0.0676999081226834	0	1	0.000001	0.6	0.6	FALSE
south	0.144092099768618	-0.069943122740281	0	1	0.000001	0.6	0.6	FALSE
south	0.0437917656448504	0.0793510215979945	0	1	0.000001	0.6	0.6	FALSE
north	-0.19254152728697	-0.180023486187844	0	1	0.000001	0.6	0.6	FALSE
south	0.146850943672953	-0.0609974203495363	0	1	0.000001	0.6	0.6	FALSE
south	0.127165003978963	-0.0381674562515085	0	1	0.000001	0.6	0.6	FALSE
north	-0.151815525848192	-0.116424008104562	0	1	0.000001	0.6	0.6	FALSE
north	-0.0725075471647382	0.207278107919158	0	1	0.000001	0.6	0.6	FALSE
south	0.145201612125763	-0.0505733145619485	0	1	0.000001	0.6	0.6	FALSE
south	0.110465069585453	-0.0229118768680946	0	1	0.000001	0.6	0.6	FALSE
south	0.145723505716198	-0.062013344948764	0	1	0.000001	0.6	0.6	FALSE
north	-0.0710643487221028	0.200973887393879	0	1	0.000001	0.6	0.6	FALSE
south	0.146186664617033	-0.0624070193000941	0	1	0.000001	0.6	0.6	FALSE
south	0.146756729907414	-0.0678679625593451	0	1	0.000001	0.6	0.6	FALSE
south	0.0300683792669961	0.102552887646171	0	1	0.000001	0.6	0.6	FALSE
north	-0.188523646989352	-0.184930087317817	0	1	0.000001	0.6	0.6	FALSE
south	0.1406205214128	-0.0533296642011595	0	1	0.000001	0.6	0.6	FALSE
south	0.131426430316498	-0.0386808865944633	0	1	0.000001	0.6	0.6	FALSE
north	-0.0725549225069646	0.200617703729276	0	1	0.000001	0.6	0.6	FALSE
north	-0.191413584167724	-0.184544760846805	0	1	0.000001	0.6	0.6	FALSE
south	0.0619258517333252	0.032814215339854	0	1	0.000001	0.6	0.6	FALSE
north	-0.101766291617102	-0.033481836793071	0	1	0.000001	0.6	0.6	FALSE
south	0.129666202688636	-0.0424100827619086	0	1	0.000001	0.6	0.6	FALSE
south	0.139716484738491	-0.0533172308452084	0	1	0.000001	0.6	0.6	FALSE
north	-0.182849583262345	-0.165325048638168	0	1	0.000001	0.6	0.6	FALSE
south	0.147729842610475	-0.0660705787524917	0	1	0.000001	0.6	0.6	FALSE
north	-0.0828587795475994	0.199870481718273	0	1	0.000001	0.6	0.6	FALSE
south	0.0866321672144441	0.000793640874201643	0	1	0.000001	0.6	0.6	FALSE
north	-0.189494810766646	-0.174980413839465	0	1	0.000001	0.6	0.6	FALSE
south	0.0702027220625509	0.0335946687915937	0	1	0.000001	0.6	0.6	FALSE
north	-0.179522546839663	-0.150467819026826	0	1	0.000001	0.6	0.6	FALSE
north	-0.191719507261755	-0.180980192185323	0	1	0.000001	0.6	0.6	FALSE
south	-0.00677646970114289	0.0785518140674825	0	1	0.000001	0.6	0.6	FALSE
south	0.00537598399228626	0.144170119323725	0	1	0.000001	0.6	0.6	FALSE
north	-0.175820808182855	-0.137773369834024	0	1	0.000001	0.6	0.6	FALSE
south	0.0776929518490103	0.0172299907094752	0	1	0.000001	0.6	0.6	FALSE
north	-0.0842709141209424	0.148702187247008	0	1	0.000001	0.6	0.6	FALSE
