pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
north	-0.0839080941857826	0.191505379559551	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0690777191167347	0.207739520674626	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.09378377794194	0.162312802413045	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0865393026987955	0.19928695781081	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0832463666356578	0.200571015287418	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0917231898941209	0.167664744720101	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0875133383296177	0.198054969698072	0.02	0	0.00001	0.7	0.7	FALSE
south	0.14914513670374	-0.0566469195954488	0.02	0	0.00001	0.7	0.7	FALSE
south	0.134970964946196	-0.0499964360765736	0.02	0	0.00001	0.7	0.7	FALSE
south	0.138550438324521	-0.0532192426283699	0.02	0	0.00001	0.7	0.7	FALSE
north	0.150198338916889	-0.0639635332981982	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.187336214510402	-0.179862803627678	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.189978353567586	-0.173678317038585	0.02	0	0.00001	0.7	0.7	FALSE
south	0.10628601812093	-0.00683064072379857	0.02	0	0.00001	0.7	0.7	FALSE
south	0.148963736837482	-0.0605593137810867	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0446465937764303	0.164791739765045	0.02	0	0.00001	0.7	0.7	FALSE
south	0.147298051854101	-0.0619196060613676	0.02	0	0.00001	0.7	0.7	FALSE
south	0.150217389163296	-0.0649519151234977	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0647793503171905	0.200693369320553	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.117433657172538	-0.0553552441303005	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0722021095899779	0.178514843554819	0.02	0	0.00001	0.7	0.7	FALSE
south	0.141180471751906	-0.0527388896149501	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.18494773472452	-0.174585966425146	0.02	0	0.00001	0.7	0.7	FALSE
south	0.146053589966153	-0.0676210235019908	0.02	0	0.00001	0.7	0.7	FALSE
south	0.144173011013567	-0.0696926678019256	0.02	0	0.00001	0.7	0.7	FALSE
south	0.043759237117793	0.0805189413542429	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.191906689885836	-0.180592742791779	0.02	0	0.00001	0.7	0.7	FALSE
south	0.147064259421193	-0.0607042306048821	0.02	0	0.00001	0.7	0.7	FALSE
south	0.127366908138693	-0.0382225563924323	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.15136020441051	-0.116521835025474	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0732402922650145	0.207443661580277	0.02	0	0.00001	0.7	0.7	FALSE
south	0.145405475712225	-0.0500224428239918	0.02	0	0.00001	0.7	0.7	FALSE
south	0.110544029504084	-0.0223993958768485	0.02	0	0.00001	0.7	0.7	FALSE
south	0.14585427914902	-0.0612931703534731	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0717838761283529	0.200585852247757	0.02	0	0.00001	0.7	0.7	FALSE
south	0.14628654695059	-0.0619932126610102	0.02	0	0.00001	0.7	0.7	FALSE
south	0.146939157603822	-0.067240625445636	0.02	0	0.00001	0.7	0.7	FALSE
south	0.0300669760695491	0.103768881530734	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.187939990706867	-0.18544371603682	0.02	0	0.00001	0.7	0.7	FALSE
south	0.140688508098582	-0.0528661198243823	0.02	0	0.00001	0.7	0.7	FALSE
south	0.131512619115633	-0.038213621625285	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0731943210930805	0.200505597658804	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.190943993589647	-0.185314277800252	0.02	0	0.00001	0.7	0.7	FALSE
south	0.0620487320953026	0.0343808613234604	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.101978992626047	-0.0346010012023365	0.02	0	0.00001	0.7	0.7	FALSE
south	0.129827342926555	-0.0421259565825219	0.02	0	0.00001	0.7	0.7	FALSE
south	0.139874240427472	-0.0532079423572024	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.182293526038317	-0.165759312117322	0.02	0	0.00001	0.7	0.7	FALSE
south	0.147856996619683	-0.0660671567391829	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0834840288159358	0.199268349538303	0.02	0	0.00001	0.7	0.7	FALSE
south	0.0866100865514868	0.0011018119537728	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.188895049275372	-0.175585436419903	0.02	0	0.00001	0.7	0.7	FALSE
south	0.0702149709140914	0.0337200276776621	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.179064976319429	-0.150999780925346	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.191121380190984	-0.181579463605057	0.02	0	0.00001	0.7	0.7	FALSE
south	-0.00716569100800441	0.0788324594349096	0.02	0	0.00001	0.7	0.7	FALSE
south	0.00528991257913487	0.144839397772026	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.175390761090541	-0.138058031309519	0.02	0	0.00001	0.7	0.7	FALSE
south	0.077608410246686	0.0174651088866916	0.02	0	0.00001	0.7	0.7	FALSE
north	-0.0849762609351476	0.146868254186898	0.02	0	0.00001	0.7	0.7	FALSE
