pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
HG	-0.129387333170215	-0.00413753472602847	0	0	0	0	0	FALSE
HG	-0.129321374788256	-0.00344271900685142	0	0	0	0	0	FALSE
HG	-0.130019394784226	-0.0034526958971466	0	0	0	0	0	FALSE
HG	-0.132097191443523	-0.00862733584006822	0	0	0	0	0	FALSE
HG	-0.129028318658724	0.00917526161785104	0	0	0	0	0	FALSE
HG	-0.12966704096747	0.00324654664896706	0	0	0	0	0	FALSE
HG	-0.128807668069655	-0.00720451792257346	0	0	0	0	0	FALSE
HG	-0.127783317476568	0.00324110952541637	0	0	0	0	0	FALSE
HG	-0.13030586480834	0.00222822614782189	0	0	0	0	0	FALSE
HG	-0.129302214481007	0.00737840265953027	0	0	0	0	0	FALSE
HG	-0.128702463934374	0.00397888452241549	0	0	0	0	0	FALSE
HG	-0.123950063274457	0.00715981134438531	0	0	0	0	0	FALSE
HG	-0.129642370914208	-0.00484983995731925	0	0	0	0	0	FALSE
HG	-0.13095014852064	-0.0111717339309594	0	0	0	0	0	FALSE
HG	-0.131326717374213	-0.00187099708690597	0	0	0	0	0	FALSE
HG	-0.12764130255329	0.0114833097179884	0	0	0	0	0	FALSE
HG	-0.129717175228078	0.00486854561254674	0	0	0	0	0	FALSE
HG	-0.131566927280672	0.00572568201872486	0	0	0	0	0	FALSE
HG	-0.129462072629623	0.00277860519278972	0	0	0	0	0	FALSE
HG	-0.128728583131268	-0.00793361707862889	0	0	0	0	0	FALSE
HG	-0.129278681114579	-0.00841792559717544	0	0	0	0	0	FALSE
HG	-0.129635041194618	0.00811135113408892	0	0	0	0	0	FALSE
HG	-0.123216265378218	-0.00595065490309577	0	0	0	0	0	FALSE
HG	-0.130432328651456	-0.00406262235528797	0	0	0	0	0	FALSE
HG	-0.129669646600956	-0.00261511812125012	0	0	0	0	0	FALSE
HG	-0.121299713686479	0.00181741493789456	0	0	0	0	0	FALSE
HG	-0.131840531745067	-0.00269755276984336	0	0	0	0	0	FALSE
HG	-0.129056512825817	-0.00396686477089636	0	0	0	0	0	FALSE
HG	-0.130247516596571	0.00961570793435324	0	0	0	0	0	FALSE
HG	-0.129935699612377	-0.00450842938045805	0	0	0	0	0	FALSE
NP	0.128448057777095	0.337271423992244	0	0	0	0	0	FALSE
NP	0.130376906844065	0.00357424422908235	0	0	0	0	0	FALSE
NP	0.12828501559988	-0.0393422011270042	0	0	0	0	0	FALSE
NP	0.130295461831109	0.150115698257566	0	0	0	0	0	FALSE
NP	0.127988580917745	-0.0595515967845141	0	0	0	0	0	FALSE
NP	0.130482568356533	0.216255533966347	0	0	0	0	0	FALSE
NP	0.129633228010039	-0.0919393487166922	0	0	0	0	0	FALSE
NP	0.129362202848512	-0.106557518124483	0	0	0	0	0	FALSE
NP	0.126521999121581	0.00536729973295787	0	0	0	0	0	FALSE
NP	0.12997029959735	0.0444315810271307	0	0	0	0	0	FALSE
NP	0.126309124650749	0.237031551786552	0	0	0	0	0	FALSE
NP	0.132333686999211	0.0185125467467477	0	0	0	0	0	FALSE
NP	0.129652926181687	-0.0867916153131531	0	0	0	0	0	FALSE
NP	0.13085921264132	-0.0226313882152857	0	0	0	0	0	FALSE
NP	0.129308680671031	0.34032407088536	0	0	0	0	0	FALSE
NP	0.131774998923103	0.249701270660684	0	0	0	0	0	FALSE
NP	0.125528684278941	0.0266589556045476	0	0	0	0	0	FALSE
NP	0.129507807266175	0.0358676094902145	0	0	0	0	0	FALSE
NP	0.130103190866378	-0.119580562998313	0	0	0	0	0	FALSE
NP	0.129206273734821	-0.122142801335197	0	0	0	0	0	FALSE
NP	0.130584192403075	-0.173009624705031	0	0	0	0	0	FALSE
NP	0.131738068124563	0.258795403736288	0	0	0	0	0	FALSE
NP	0.131566732515567	-0.0173201731171851	0	0	0	0	0	FALSE
NP	0.12881907067159	0.000952542417412688	0	0	0	0	0	FALSE
NP	0.129886087560985	-0.25947203557516	0	0	0	0	0	FALSE
NP	0.113344416666851	0.0356019112712529	0	0	0	0	0	FALSE
NP	0.128785915029811	-0.265991659351652	0	0	0	0	0	FALSE
NP	0.131498333867066	-0.497773408344581	0	0	0	0	0	FALSE
NP	0.131205644676777	0.0672247890393487	0	0	0	0	0	FALSE
NP	0.128642112263402	-0.161481198804027	0	0	0	0	0	FALSE
