pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
B	-0.132652652393685	0.0169287643299012	0	1	0.000001	0.7	0.1	FALSE
B	-0.152767969459684	-0.139981508844258	0	1	0.000001	0.7	0.1	FALSE
B	-0.134390510636222	0.0564417869924534	0	1	0.000001	0.7	0.1	FALSE
B	-0.114785418571047	0.102494654967111	0	1	0.000001	0.7	0.1	FALSE
B	-0.127097459458928	-0.0816571124784652	0	1	0.000001	0.7	0.1	FALSE
B	-0.107950240011006	0.0204167999297937	0	1	0.000001	0.7	0.1	FALSE
B	-0.0940046662417509	-0.0488110095929524	0	1	0.000001	0.7	0.1	FALSE
B	-0.117785008700485	-0.0434208547627228	0	1	0.000001	0.7	0.1	FALSE
B	-0.128116672447285	0.0361095475924728	0	1	0.000001	0.7	0.1	FALSE
B	-0.135995945876552	0.00141658576946319	0	1	0.000001	0.7	0.1	FALSE
B	-0.137467075642168	0.0524511520339844	0	1	0.000001	0.7	0.1	FALSE
B	-0.153319830053434	-0.1283074755358	0	1	0.000001	0.7	0.1	FALSE
B	-0.137640453200556	-0.0818114781741261	0	1	0.000001	0.7	0.1	FALSE
B	-0.0848526802069505	-0.165272934641762	0	1	0.000001	0.7	0.1	FALSE
B	-0.103587711874023	-0.0779510513044246	0	1	0.000001	0.7	0.1	FALSE
B	-0.14164158126644	0.157031988975366	0	1	0.000001	0.7	0.1	FALSE
B	-0.129403758749542	-0.0808444205285187	0	1	0.000001	0.7	0.1	FALSE
B	-0.107961270890874	-0.0205852040166763	0	1	0.000001	0.7	0.1	FALSE
B	-0.133390710558732	0.0738078484529325	0	1	0.000001	0.7	0.1	FALSE
B	-0.111166256675806	0.0932184321755529	0	1	0.000001	0.7	0.1	FALSE
B	-0.0862327712504682	-0.218434144847968	0	1	0.000001	0.7	0.1	FALSE
B	-0.158818618449852	0.104456680660368	0	1	0.000001	0.7	0.1	FALSE
B	-0.145653116754596	0.106652118213975	0	1	0.000001	0.7	0.1	FALSE
B	-0.1023382262529	-0.0166356950575274	0	1	0.000001	0.7	0.1	FALSE
B	-0.134762393162411	0.0729353583206514	0	1	0.000001	0.7	0.1	FALSE
B	-0.136564734497863	-0.271860074848063	0	1	0.000001	0.7	0.1	FALSE
B	-0.124577455468053	0.118144658224409	0	1	0.000001	0.7	0.1	FALSE
B	-0.121925295641462	-0.127326288239739	0	1	0.000001	0.7	0.1	FALSE
B	-0.116497788425922	-0.0138947628974519	0	1	0.000001	0.7	0.1	FALSE
B	-0.143568860358147	0.0468240557612788	0	1	0.000001	0.7	0.1	FALSE
C	0.181296890494511	-0.00706356053219295	0	1	0.000001	0.7	0.1	FALSE
C	0.159606925805237	0.189014583014879	0	1	0.000001	0.7	0.1	FALSE
C	0.182179690519018	-0.0337278360682049	0	1	0.000001	0.7	0.1	FALSE
C	0.110094175765217	-0.165342102820209	0	1	0.000001	0.7	0.1	FALSE
C	0.106178229880273	0.0777189842679217	0	1	0.000001	0.7	0.1	FALSE
C	0.146079155514758	0.223928671540111	0	1	0.000001	0.7	0.1	FALSE
C	0.0590718472441815	0.1118502369404	0	1	0.000001	0.7	0.1	FALSE
C	0.122987283807835	0.0426025953096568	0	1	0.000001	0.7	0.1	FALSE
C	0.104123826907375	-0.218660494334609	0	1	0.000001	0.7	0.1	FALSE
C	0.126031358569014	0.0325662595767432	0	1	0.000001	0.7	0.1	FALSE
C	0.181108016591208	-0.192392222238863	0	1	0.000001	0.7	0.1	FALSE
C	0.177759573009445	-0.194650980768981	0	1	0.000001	0.7	0.1	FALSE
C	0.156413613159699	0.0952561906727001	0	1	0.000001	0.7	0.1	FALSE
C	0.13526428934253	-0.118754117213783	0	1	0.000001	0.7	0.1	FALSE
C	0.160922255691174	-0.144990238494936	0	1	0.000001	0.7	0.1	FALSE
C	0.191458748060932	-0.0833850865060871	0	1	0.000001	0.7	0.1	FALSE
C	0.114680766712312	-0.0541200900923774	0	1	0.000001	0.7	0.1	FALSE
C	0.111933595024834	0.00946989052735163	0	1	0.000001	0.7	0.1	FALSE
C	0.10705853559905	-0.1000548650056	0	1	0.000001	0.7	0.1	FALSE
C	0.0534818970657687	0.406307378259909	0	1	0.000001	0.7	0.1	FALSE
C	0.090098453870135	0.0973709072187535	0	1	0.000001	0.7	0.1	FALSE
C	0.146491820843132	-0.0824210496354365	0	1	0.000001	0.7	0.1	FALSE
C	0.102048813975949	0.146740985076733	0	1	0.000001	0.7	0.1	FALSE
C	0.0854695542489829	0.150488591506396	0	1	0.000001	0.7	0.1	FALSE
C	0.0375462111346382	0.321938661925524	0	1	0.000001	0.7	0.1	FALSE
C	0.13553114497901	-0.0506632682322637	0	1	0.000001	0.7	0.1	FALSE
C	0.0976922018704728	-0.0106067163375839	0	1	0.000001	0.7	0.1	FALSE
C	0.14673114297213	-0.0820549299026749	0	1	0.000001	0.7	0.1	FALSE
C	0.0724676413178391	0.069941406247251	0	1	0.000001	0.7	0.1	FALSE
C	0.155109473200178	0.0211557994702146	0	1	0.000001	0.7	0.1	FALSE
