pop	num_min_alleles	count	proj_prop	proj	maf	mgc	hwe	min_ind	min_loci	LD
B	1	19090.719061294	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	2	22411.1145337516	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	3	21111.8096942129	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	4	14543.3545040103	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	5	11220.6227795678	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	6	9298.53010029827	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	7	8048.15918824904	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	8	7162.91608845799	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	9	6523.26722238447	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	10	6064.08832270472	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	11	5735.39968340091	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	12	5497.54683374376	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	13	5321.7959501173	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	14	5194.31546487096	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	15	5114.67219380957	0.5	30	0	1	0.05	0.7	0.7	FALSE
B	1	12984.3179238572	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	2	14673.0514791661	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	3	20652.8451691841	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	4	14255.8046443033	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	5	10855.8087357577	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	6	8809.4623026884	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	7	7530.9638365502	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	8	6664.62446699294	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	9	5991.49994444063	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	10	5450.77064533654	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	11	5030.20025792415	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	12	4703.9063852756	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	13	4444.83843385199	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	14	4241.79622706142	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	15	4091.03006035117	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	16	3978.80473202306	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	17	3884.79178801788	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	18	3798.76852448625	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	19	3724.01250465449	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	20	3667.99536298922	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	21	3634.73363653749	0.7	42	0	1	0.05	0.7	0.7	FALSE
B	1	10310.5795249675	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	2	7179.51777577826	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	3	20253.415519199	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	4	14076.5326373919	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	5	10768.5254719708	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	6	8678.69324494987	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	7	7219.11174178133	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	8	6302.94389390001	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	9	5720.51827124438	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	10	5230.0460663837	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	11	4780.63770748	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	12	4401.88603343852	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	13	4105.28152158019	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	14	3868.3717030807	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	15	3696.72801537852	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	16	3531.94021555701	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	17	3356.87495620596	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	18	3231.61669981133	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	19	3176.08271459678	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	20	3132.49295979166	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	21	3075.60250126541	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	22	3013.29953449455	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	23	2956.44460015671	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	24	2900.46024082039	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	25	2854.04624046164	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	26	2829.89143657723	0.9	54	0	1	0.05	0.7	0.7	FALSE
B	27	2821.19527323722	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	1	67439.9747443159	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	2	8116.1622506778	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	3	7946.48539026272	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	4	7279.29532084864	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	5	6804.01888640889	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	6	6423.42867942166	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	7	6103.09350340413	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	8	5827.54365939953	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	9	5595.29800517602	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	10	5402.22961866194	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	11	5248.45965832754	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	12	5135.5554038742	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	13	5060.5555514865	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	14	5015.52567015007	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	15	4992.01329485827	0.5	30	0	1	0.05	0.7	0.7	FALSE
C	1	65183.2001195486	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	2	5747.16469333235	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	3	6213.9326011939	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	4	5686.91580603744	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	5	5357.91304229848	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	6	5056.60728763282	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	7	4853.60737317413	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	8	4659.33394924393	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	9	4473.51921830096	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	10	4315.55777793058	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	11	4178.12543620301	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	12	4055.52988649048	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	13	3945.11746955753	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	14	3845.46165264597	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	15	3759.97504939694	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	16	3695.71760795355	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	17	3652.72422829326	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	18	3624.63964042091	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	19	3605.91870206254	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	20	3593.49772113797	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	21	3585.91608961115	0.7	42	0	1	0.05	0.7	0.7	FALSE
C	1	63970.9484368875	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	2	4152.52376788353	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	3	5204.38334770804	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	4	4635.09423724045	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	5	4542.95009613788	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	6	4193.37500947785	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	7	3986.03338348339	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	8	3940.43759438427	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	9	3774.98103092678	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	10	3661.18745673925	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	11	3513.61257583816	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	12	3429.49556842022	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	13	3356.63289700353	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	14	3244.81622152181	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	15	3167.74812966861	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	16	3131.26493067075	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	17	3060.55082344836	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	18	2970.89449589013	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	19	2916.51315665618	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	20	2880.82719450701	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	21	2857.31460938086	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	22	2843.60352260094	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	23	2824.97149798281	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	24	2809.82766978014	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	25	2811.37987064917	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	26	2808.90428424817	0.9	54	0	1	0.05	0.7	0.7	FALSE
C	27	2796.59805542381	0.9	54	0	1	0.05	0.7	0.7	FALSE
