pop	num_min_alleles	count	proj_prop	proj	maf	mgc	hwe	min_ind	min_loci	LD
B	1	33029.773870333	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	2	27764.520551841	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	3	21307.8368138264	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	4	14719.5774934474	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	5	11508.919765489	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	6	9603.16928696424	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	7	8342.24884129005	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	8	7463.04727004255	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	9	6820.51505094027	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	10	6332.13019576524	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	11	5963.67405308808	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	12	5699.87855041055	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	13	5523.61460958983	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	14	5415.38276311802	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	15	5358.32938725976	0.5	30	0	1	0.001	0.7	0.7	FALSE
B	1	24809.9306732568	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	2	21994.2901065095	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	3	20932.5280698056	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	4	14230.2741680807	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	5	10953.3293197285	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	6	9052.40708605689	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	7	7789.28898281867	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	8	6866.22620333003	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	9	6169.79168078361	0.7	42	0	1	0.001	0.7	0.7	FALSE
B	10	5658.50452879566	0.7	42	0	1	0.001	0.7	0.7	FALSE
