pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
B	-0.130065798762684	-0.375934629627923	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.114624691793056	-0.122496619301811	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.117753650376699	0.223092679704382	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.118480522090595	0.0213073435338093	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.138877201555292	0.140445087210486	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.134199673071248	0.16944834219853	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.128555958729048	0.217157275047135	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.129568718899079	-0.0762043488371807	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.118137804121278	0.196819787728279	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.133738936791813	-0.234488408939284	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.135053010976201	0.116254470803025	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.129779615753968	-0.110890750564764	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.131483057654696	0.00999339315075112	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.137448794778594	0.0892331202471466	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.127917491967851	0.12441730894267	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.126005278958456	-0.183560190250216	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.135519065756725	-0.0234324034035718	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.125015552562647	-0.0877243597736041	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.129915973236359	0.211583107345397	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.136129699937452	-0.342941535238395	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.131842071018701	-0.08686298889133	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.126544869117296	0.106862427385571	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.124093988388263	-0.0412567283073955	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.124900747975272	-0.0304551076504075	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.125984733391975	0.173007093637025	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.130770993008341	0.16361894178654	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.122305722437749	-0.0908635590110007	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.130527853862818	-0.0459859161239396	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.128531711418454	0.0942301887827205	0.02	0	0.000001	0.7	0.7	FALSE
B	-0.144875149799608	-0.188368511302613	0.02	0	0.000001	0.7	0.7	FALSE
C	0.126423146420571	-0.0253003194908025	0.02	0	0.000001	0.7	0.7	FALSE
C	0.124713277913415	0.19254380484189	0.02	0	0.000001	0.7	0.7	FALSE
C	0.129364656197904	-0.0580824359502974	0.02	0	0.000001	0.7	0.7	FALSE
C	0.129016985976483	-0.0635626510113306	0.02	0	0.000001	0.7	0.7	FALSE
C	0.129427277042813	0.0990603295328652	0.02	0	0.000001	0.7	0.7	FALSE
C	0.138390930294503	0.0444637094269378	0.02	0	0.000001	0.7	0.7	FALSE
C	0.126400977882336	-0.137527404424644	0.02	0	0.000001	0.7	0.7	FALSE
C	0.138992991492487	-0.0615472183427046	0.02	0	0.000001	0.7	0.7	FALSE
C	0.126900266950593	-0.00522862701097704	0.02	0	0.000001	0.7	0.7	FALSE
C	0.131962860088158	-0.1284795410463	0.02	0	0.000001	0.7	0.7	FALSE
C	0.126606853220382	0.120562884238338	0.02	0	0.000001	0.7	0.7	FALSE
C	0.130258837594358	0.0508278803865286	0.02	0	0.000001	0.7	0.7	FALSE
C	0.123527860379019	-0.079154583017746	0.02	0	0.000001	0.7	0.7	FALSE
C	0.122315128690852	-0.0113976027381505	0.02	0	0.000001	0.7	0.7	FALSE
C	0.125006376564376	-0.136714246880067	0.02	0	0.000001	0.7	0.7	FALSE
C	0.138056766885331	-0.144832753705838	0.02	0	0.000001	0.7	0.7	FALSE
C	0.120086818718198	0.0165070588286861	0.02	0	0.000001	0.7	0.7	FALSE
C	0.13312204013801	-0.0132299327942268	0.02	0	0.000001	0.7	0.7	FALSE
C	0.136868463817752	-0.0388819998856795	0.02	0	0.000001	0.7	0.7	FALSE
C	0.135744541473547	0.120397991667496	0.02	0	0.000001	0.7	0.7	FALSE
C	0.128793096325347	-0.00374013898180111	0.02	0	0.000001	0.7	0.7	FALSE
C	0.125578295300551	0.0289926396044101	0.02	0	0.000001	0.7	0.7	FALSE
C	0.121171562031123	-0.0618348293990067	0.02	0	0.000001	0.7	0.7	FALSE
C	0.129736215249364	-0.0575765658568946	0.02	0	0.000001	0.7	0.7	FALSE
C	0.135231788573335	0.0536546754023588	0.02	0	0.000001	0.7	0.7	FALSE
C	0.128776899835903	0.0770332572541755	0.02	0	0.000001	0.7	0.7	FALSE
C	0.131371061212859	0.079868335635723	0.02	0	0.000001	0.7	0.7	FALSE
C	0.133861749982554	-0.0223614261288962	0.02	0	0.000001	0.7	0.7	FALSE
C	0.117223296931185	0.0528102098203554	0.02	0	0.000001	0.7	0.7	FALSE
C	0.123717315008912	0.0967249897455814	0.02	0	0.000001	0.7	0.7	FALSE
