pop	num_min_alleles	count	proj_prop	proj	maf	mgc	hwe	min_ind	min_loci	LD
B	1	35173.1488503244	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	2	26941.4037435934	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	3	21396.7724278316	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	4	14807.1075558435	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	5	11558.7563313529	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	6	9644.21561226464	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	7	8389.11721875174	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	8	7509.5862157122	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	9	6864.3411100893	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	10	6380.14616595729	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	11	6016.56437670279	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	12	5750.71912380277	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	13	5567.38914546135	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	14	5451.73667999475	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	15	5389.21594425571	0.5	30	0	1	0.0001	0.7	0.7	FALSE
B	1	27292.4250149873	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	2	20790.4904727753	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	3	20963.8189278394	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	4	14337.520334682	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	5	11028.4311713046	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	6	9089.83371045595	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	7	7799.02208107619	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	8	6886.94012252141	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	9	6223.30058197355	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	10	5707.18525064122	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	11	5294.49942469241	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	12	4965.32907701439	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	13	4698.59302933646	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	14	4476.95934530292	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	15	4292.47122609129	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	16	4144.04037581133	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	17	4032.5240999708	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	18	3955.22491405182	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	19	3904.09928353303	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	20	3870.47688662949	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	21	3850.19540767902	0.7	42	0	1	0.0001	0.7	0.7	FALSE
B	1	22897.5533668798	0.9	54	0	1	0.0001	0.7	0.7	FALSE
B	2	14826.1814999066	0.9	54	0	1	0.0001	0.7	0.7	FALSE
