pop	PC1	PC2	maf	mgc	hwe	min_ind	min_loci	LD
B	-0.131255622337406	0.33921653331587	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.135942639691288	0.117046787891249	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.121927474679729	-0.098950595497005	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.133211139766156	0.105770303677036	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.131916922761321	0.232798454057129	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.1074715945184	-0.143118332288012	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.128050040819694	-0.221037638451993	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.121051365190393	-0.0557073591515496	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.126466377060233	0.124899676667068	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.136591242898308	-0.040505971296075	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.122200152071424	0.0652580493109205	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.128864751762376	0.00206952144332861	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.130174479757552	-0.136047584378299	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.123500551796344	0.0509855102294648	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.135302696648364	0.12077903218266	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.128986139043019	0.115559873898914	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.127988375892395	-0.0156803713545311	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.122948046587653	0.132336267492029	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.132097554846053	0.0425243946926987	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.14179198421582	-0.121834215558199	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.12416011968064	0.169981789854034	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.134522863992899	-0.201316335026405	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.134690848498892	-0.186461076969838	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.121247790931898	-0.17281070568281	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.133517932782907	-0.197555826699177	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.131534684354954	-0.0805373797335808	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.136213951568032	0.0793843763315556	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.134026056456146	-0.0360930869823145	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.133174543525799	-0.0880847055437923	0.06	0	0.000001	0.7	0.7	FALSE
B	-0.117782156057333	0.0552081351913038	0.06	0	0.000001	0.7	0.7	FALSE
C	0.136080222862141	-0.264283038256462	0.06	0	0.000001	0.7	0.7	FALSE
C	0.129274374947126	-0.0383203568057788	0.06	0	0.000001	0.7	0.7	FALSE
C	0.123090761516497	0.159066286032239	0.06	0	0.000001	0.7	0.7	FALSE
C	0.124690325255548	-0.033632241823259	0.06	0	0.000001	0.7	0.7	FALSE
C	0.123686999596833	0.0923386453349643	0.06	0	0.000001	0.7	0.7	FALSE
C	0.133016002155941	-0.0163612017890469	0.06	0	0.000001	0.7	0.7	FALSE
C	0.129809385387844	0.025016768595062	0.06	0	0.000001	0.7	0.7	FALSE
C	0.132500458836786	-0.381685070538475	0.06	0	0.000001	0.7	0.7	FALSE
C	0.124498188760028	0.0110811430940728	0.06	0	0.000001	0.7	0.7	FALSE
C	0.128563376247841	0.0762135815631848	0.06	0	0.000001	0.7	0.7	FALSE
C	0.130271598012593	-0.0946183007534314	0.06	0	0.000001	0.7	0.7	FALSE
C	0.13296824993856	0.00278143275655325	0.06	0	0.000001	0.7	0.7	FALSE
C	0.124109938809744	0.0365167075630798	0.06	0	0.000001	0.7	0.7	FALSE
C	0.13956520525137	-0.00782511908630702	0.06	0	0.000001	0.7	0.7	FALSE
C	0.120481334010421	0.205545284985862	0.06	0	0.000001	0.7	0.7	FALSE
C	0.120689170250525	0.0397732199274979	0.06	0	0.000001	0.7	0.7	FALSE
C	0.129561852244814	0.0159817724897778	0.06	0	0.000001	0.7	0.7	FALSE
C	0.131685528194016	0.0743895215509788	0.06	0	0.000001	0.7	0.7	FALSE
C	0.129341942751138	-0.0583082146861505	0.06	0	0.000001	0.7	0.7	FALSE
C	0.130927436499324	0.0549097329125129	0.06	0	0.000001	0.7	0.7	FALSE
C	0.134869003269663	-0.0655559998132643	0.06	0	0.000001	0.7	0.7	FALSE
C	0.116489549341018	0.134844114833724	0.06	0	0.000001	0.7	0.7	FALSE
C	0.129949663608903	-0.0165260199332404	0.06	0	0.000001	0.7	0.7	FALSE
C	0.128113590524966	0.082948773304614	0.06	0	0.000001	0.7	0.7	FALSE
C	0.13279720419751	-0.0603084937875542	0.06	0	0.000001	0.7	0.7	FALSE
C	0.13118764690252	0.184397655651937	0.06	0	0.000001	0.7	0.7	FALSE
C	0.132735067237744	-0.0025435088145252	0.06	0	0.000001	0.7	0.7	FALSE
C	0.137369068320149	-0.141037109751424	0.06	0	0.000001	0.7	0.7	FALSE
C	0.125789951964017	0.0766467960071258	0.06	0	0.000001	0.7	0.7	FALSE
C	0.124497003297844	-0.0495242823859474	0.06	0	0.000001	0.7	0.7	FALSE
