maf	mgc	hwe	min_ind	min_loci	LD	LD_sigma	LD_cut
0	0	0	0	0	0	100	0.7
0	1	1e-06	0.7	0.7	0	100	0.7
0	0	1e-06	0.7	0.7	0	100	0.7
0.02	0	1e-06	0.7	0.7	0	100	0.7
0.03	0	1e-06	0.7	0.7	0	100	0.7
0.04	0	1e-06	0.7	0.7	0	100	0.7
0.05	0	1e-06	0.7	0.7	0	100	0.7
0.06	0	1e-06	0.7	0.7	0	100	0.7
0.07	0	1e-06	0.7	0.7	0	100	0.7
0.08	0	1e-06	0.7	0.7	0	100	0.7
0.09	0	1e-06	0.7	0.7	0	100	0.7
0.1	0	1e-06	0.7	0.7	0	100	0.7
0	1	0	0.7	0.7	0	100	0.7
0	1	0.05	0.7	0.7	0	100	0.7
0	1	1e-06	0.1	0.1	0	100	0.7
0	1	1e-06	0.2	0.2	0	100	0.7
0	1	1e-06	0.3	0.3	0	100	0.7
0	1	1e-06	0.4	0.4	0	100	0.7
0	1	1e-06	0.5	0.5	0	100	0.7
0	1	1e-06	0.6	0.6	0	100	0.7
0	1	1e-06	0.7	0.7	0	100	0.7
0	1	1e-06	0.8	0.8	0	100	0.7
0	1	1e-06	0.9	0.9	0	100	0.7
0	1	1e-06	0.7	0.7	1	100	0.7
0	1	1e-06	0.1	0.7	0	100	0.7
0	1	1e-06	0.2	0.7	0	100	0.7
0	1	1e-06	0.3	0.7	0	100	0.7
0	1	1e-06	0.4	0.7	0	100	0.7
0	1	1e-06	0.5	0.7	0	100	0.7
0	1	1e-06	0.6	0.7	0	100	0.7
0	1	1e-06	0.7	0.7	0	100	0.7
0	1	1e-06	0.8	0.7	0	100	0.7
0	1	1e-06	0.9	0.7	0	100	0.7
0	1	1e-06	0.7	0.1	0	100	0.7
0	1	1e-06	0.7	0.2	0	100	0.7
0	1	1e-06	0.7	0.3	0	100	0.7
0	1	1e-06	0.7	0.4	0	100	0.7
0	1	1e-06	0.7	0.5	0	100	0.7
0	1	1e-06	0.7	0.6	0	100	0.7
0	1	1e-06	0.7	0.7	0	100	0.7
0	1	1e-06	0.7	0.8	0	100	0.7
0	1	1e-06	0.7	0.9	0	100	0.7
0	1	1e-05	0.7	0.7	0	100	0.7
0	1	1e-04	0.7	0.7	0	100	0.7
0	1	0.001	0.7	0.7	0	100	0.7
0	1	0.01	0.7	0.7	0	100	0.7
