maf	mgc	hwe	min_ind	min_loci	LD	LD_sigmat	LD_cut
0	0	1e-06	0.7	0.7	FALSE	100	0.7
0	0	1e-05	0.7	0.7	FALSE	100	0.7
0	0	1e-04	0.7	0.7	FALSE	100	0.7
0	0	0.001	0.7	0.7	FALSE	100	0.7
0	0	0.01	0.7	0.7	FALSE	100	0.7
0.02	0	1e-06	0.7	0.7	FALSE	100	0.7
0.02	0	1e-05	0.7	0.7	FALSE	100	0.7
0.02	0	1e-04	0.7	0.7	FALSE	100	0.7
0.02	0	0.001	0.7	0.7	FALSE	100	0.7
0.02	0	0.01	0.7	0.7	FALSE	100	0.7
0.03	0	1e-06	0.7	0.7	FALSE	100	0.7
0.03	0	1e-05	0.7	0.7	FALSE	100	0.7
0.03	0	1e-04	0.7	0.7	FALSE	100	0.7
0.03	0	0.001	0.7	0.7	FALSE	100	0.7
0.03	0	0.01	0.7	0.7	FALSE	100	0.7
0.04	0	1e-06	0.7	0.7	FALSE	100	0.7
0.04	0	1e-05	0.7	0.7	FALSE	100	0.7
0.04	0	1e-04	0.7	0.7	FALSE	100	0.7
0.04	0	0.001	0.7	0.7	FALSE	100	0.7
0.04	0	0.01	0.7	0.7	FALSE	100	0.7
0.05	0	1e-06	0.7	0.7	FALSE	100	0.7
0.05	0	1e-05	0.7	0.7	FALSE	100	0.7
0.05	0	1e-04	0.7	0.7	FALSE	100	0.7
0.05	0	0.001	0.7	0.7	FALSE	100	0.7
0.05	0	0.01	0.7	0.7	FALSE	100	0.7
0.06	0	1e-06	0.7	0.7	FALSE	100	0.7
0.06	0	1e-05	0.7	0.7	FALSE	100	0.7
0.06	0	1e-04	0.7	0.7	FALSE	100	0.7
0.06	0	0.001	0.7	0.7	FALSE	100	0.7
0.06	0	0.01	0.7	0.7	FALSE	100	0.7
0.07	0	1e-06	0.7	0.7	FALSE	100	0.7
0.07	0	1e-05	0.7	0.7	FALSE	100	0.7
0.07	0	1e-04	0.7	0.7	FALSE	100	0.7
0.07	0	0.001	0.7	0.7	FALSE	100	0.7
0.07	0	0.01	0.7	0.7	FALSE	100	0.7
0.08	0	1e-06	0.7	0.7	FALSE	100	0.7
0.08	0	1e-05	0.7	0.7	FALSE	100	0.7
0.08	0	1e-04	0.7	0.7	FALSE	100	0.7
0.08	0	0.001	0.7	0.7	FALSE	100	0.7
0.08	0	0.01	0.7	0.7	FALSE	100	0.7
0.09	0	1e-06	0.7	0.7	FALSE	100	0.7
0.09	0	1e-05	0.7	0.7	FALSE	100	0.7
0.09	0	1e-04	0.7	0.7	FALSE	100	0.7
0.09	0	0.001	0.7	0.7	FALSE	100	0.7
0.09	0	0.01	0.7	0.7	FALSE	100	0.7
0.1	0	1e-06	0.7	0.7	FALSE	100	0.7
0.1	0	1e-05	0.7	0.7	FALSE	100	0.7
0.1	0	1e-04	0.7	0.7	FALSE	100	0.7
0.1	0	0.001	0.7	0.7	FALSE	100	0.7
0.1	0	0.01	0.7	0.7	FALSE	100	0.7
