comparison	chr	position	fst	nk	maf	mgc	hwe	min_ind	min_loci	LD
B~C	1	2700	0.124159964746061	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	3200	0.00829064793789935	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	4700	-0.0172413793103448	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	5100	-0.0166468489892984	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	5199	0.00246305418719211	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	6200	0.00041050903119869	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	6200	-0.000253549695740371	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	6300	0.00041050903119869	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	6600	-0.0110051357300073	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	7500	0.0370058873002523	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	8400	-0.012472487160675	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	10399	0.0183740246664989	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	11199	-0.0161191593552336	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	15100	0.0301724137931035	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	15200	0.0587538848601451	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	15400	0.0760726506975519	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	17100	0.0210403272939802	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	20100	-0.00672121566335475	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	20500	-0.000968198406196474	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	24200	-0.0119940029985008	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	28300	-0.0136741973840666	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	28600	0.0100111234705228	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	29300	-0.00901856763925729	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	32000	0.0137931034482759	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	33100	-0.00365380223795386	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	33200	-0.0185185185185185	120	0.09	0	0.000001	0.7	0.7	FALSE
B~C	1	36000	0.0220905172413793	120	0.09	0	0.000001	0.7	0.7	FALSE
