comparison	chr	position	fst	nk	maf	mgc	hwe	min_ind	min_loci	LD
B~C	1	100	0.0394088669950739	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	200	0.0406570363466915	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	300	0.0394088669950739	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	500	0.0811359026369168	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	900	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	1100	0.0137189469781238	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	1499	0.0811359026369168	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	1600	0.0394088669950739	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	1600	0.0394088669950739	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	1900	-0.0185185185185185	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	2100	0.11515940143136	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	2500	0.0151157298063297	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	2799	0.0183740246664989	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	3200	0.0300309363917603	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	3800	0.0638815207780725	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	4700	0.0138575572027071	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	5500	0.0335753176043557	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	5599	0.0739346483963259	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	6900	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	7000	0.0151157298063297	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	7300	-0.0129310344827586	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	8100	0.211076280041797	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	9100	-0.0169491525423729	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	9200	-0.0109717868338558	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	10399	0.0263691683569979	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	11700	0.211076280041797	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	11700	0.189862899875364	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	12200	0.189862899875364	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	12400	0.211076280041797	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	12500	-0.019244878379141	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	12700	0.0344827586206897	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13100	0.119917653113742	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13500	0.0294459511817125	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13600	0.0567951318458418	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13699	0.068149127240213	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13800	0.0567951318458418	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	13900	0.0567951318458418	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	14300	0.0344827586206897	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	14400	0.0567951318458418	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	14400	0.211076280041797	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	15299	0.000884173297966406	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	15500	-0.019244878379141	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	15700	-0.0109717868338558	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	15700	0.0548094373865699	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	15800	0.0548094373865699	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	16400	0.0344827586206897	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	16700	0.478553406223718	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	16900	0.0315745741587038	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	17400	-0.0152365677626303	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	17500	0.0371621621621622	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	18500	0.0371621621621622	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	18700	0.491954022988506	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	18900	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	19300	-0.0135841170323929	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	19900	-0.00824587706146927	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	20000	0.00490110274811832	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	20400	0.0492957746478873	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	21000	0.0427357411341723	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	21500	0.0344827586206897	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	21600	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	22100	0.0427357411341723	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	22900	0.0344827586206897	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	23700	-0.0109717868338558	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	24099	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	24300	-0.0166468489892985	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	24900	0.0172413793103447	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	25400	0.139613120269134	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	26100	0.139613120269134	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	26500	0.230369754881595	120	0	1	0.000001	0.5	0.5	FALSE
B~C	1	28000	-0.0109717868338558	120	0	1	0.000001	0.5	0.5	FALSE
